LONGITUDE,LATITUDE,cluster
3.403736,46.169689,3
1.95,46.1833333,2
4.013264,46.412536,3
1.717,46.867,0
5.4166666,47.0333333,3
-0.3175,45.658333,0
4.795767,46.295103,3
0.2166666,45.7166666,0
1.469167,45.150833,0
1.179444,45.862778,0
3.169169,45.786661,3
5.090833,45.726387,3
5.328445,45.987335,3
4.3833333,45.9333333,3
4.944275,45.727172,3
4.296389,45.540554,3
5.329375,45.362944,3
5.880225,45.63805,3
5.85,45.22,3
6.098764,45.929233,3
-1.125,44.533333,0
-1.25,44.4333333,0
0.590556,44.174721,0
-0.715556,44.828335,0
1.378042,44.025694,0
1.4,44.75,0
0.518611,44.825279,0
2.421944,44.891388,3
2.482672,44.407869,3
3.0166666,44.1166666,3
4.9,43.9,0
4.3666666,44.5333333,0
4.866717,44.140481,0
4.7333333,44.5833333,0
6.0,44.0666667,0
-1.6833333,43.4,0
-1.0666667,43.6833333,0
-1.523325,43.468419,0
-0.418611,43.38,0
0.601667,43.687778,0
-0.5075,43.911667,0
1.3675,43.545555,0
1.10315,43.007764,0
1.25,43.45,0
1.363819,43.629075,0
3.35,43.3166666,0
2.113056,43.913887,0
2.306317,43.215978,0
4.4,43.8666667,0
3.7,43.4,0
4.416347,43.757444,0
3.963014,43.576194,0
3.0666666,42.9166666,0
5.213611,43.435555,0
5.10925,43.606415,0
4.923844,43.522736,0
6.953478,43.54205,0
6.146028,43.097344,0
6.387139,43.384672,0
6.4666667,43.0333333,0
3.1333333,42.5166666,0
2.870667,42.740442,0
7.215872,43.658411,0
8.9166666,42.6333333,0
8.793189,42.530753,0
9.406,41.924416,0
8.802917,41.923637,0
9.097777,41.500557,0
9.5333333,42.2666666,0
9.1666666,41.3666666,0
9.483731,42.552664,0
-8.377256,43.302061,2
-8.4166666,43.3666666,0
-7.45,43.1166666,2
-6.034622,43.563567,2
-5.8666666,43.35,2
-3.820006,43.427064,0
-2.0333333,43.3,0
-8.415144,42.896333,2
-3.8,43.4833333,0
-2.910608,43.301097,0
-1.790611,43.356519,0
-2.724469,42.882836,2
-8.6166666,42.4333333,0
-6.6,42.5666666,0
-8.626775,42.2318,0
-0.3333333,42.0833333,3
-1.646331,42.770039,0
-2.3333333,42.45,0
-4.75,41.6333333,3
2.078464,41.297078,0
0.6,41.6333333,0
1.167172,41.147392,0
-1.041553,41.666242,0
2.760547,41.900969,0
-3.785144,40.370678,0
-3.723833,40.294139,0
-3.566764,40.493556,0
-6.3333333,39.4666666,0
0.5,40.8166666,0
-3.1666666,40.6666666,3
2.7333333,39.55,0
-1.863517,38.948528,0
-0.481625,39.489314,0
-6.821333,38.89125,0
-0.558156,38.282169,0
4.218647,39.862597,0
-3.9166666,38.9833333,0
-6.9166666,37.2833333,0
-5.893106,37.418,0
1.373117,38.872858,0
-3.777356,37.188731,0
-5.615944,37.174917,0
-4.848878,37.842006,0
-1.230319,37.951111,0
-6.060111,36.744622,0
-1.1666666,38.0,0
-0.812389,37.774972,0
-4.499106,36.6749,0
-31.131361,39.455272,0
-5.349664,36.151219,0
-28.715872,38.519894,0
-2.370097,36.843936,0
-27.090797,38.761842,0
-25.170639,36.97139,0
-16.7666666,32.6833333,0
-25.69787,37.741184,0
-16.349975,33.073386,0
-16.9,32.6333333,0
-9.035916,38.703861,0
-7.965911,37.014425,0
-8.681389,41.248055,0
-8.887261,39.831244,0
-7.932397,38.078903,0
-7.9166666,38.0666666,0
6.6925,49.972667,3
-22.949444,16.741389,0
7.600283,49.436911,3
11.940175,49.698686,3
10.387831,49.473817,3
8.325397,50.049819,3
10.638717,49.308219,3
11.836111,49.218056,3
14.0,48.5666666,3
13.6666666,48.1,3
14.1333333,48.05,3
14.187511,48.233219,3
14.9,48.1,3
15.3666666,48.6833333,3
15.0333333,48.95,3
15.2,48.6166666,3
15.95,48.7666666,3
16.11186,48.321083,3
16.3666666,48.2,3
16.6333333,48.6666666,3
16.4166666,48.1333333,3
16.569722,48.110278,3
16.3666666,48.25,3
13.0333333,48.2166666,3
14.2833333,48.3,3
15.6166666,48.4166666,3
13.4333333,48.4666666,3
15.7,48.4666667,3
15.5833333,48.0333333,3
16.2833333,48.0333333,3
11.343964,47.260219,3
9.75,47.5,3
12.1666666,47.5833333,3
11.35,47.25,3
13.1,47.9833333,3
14.1333333,47.5333333,3
12.7,47.5833333,3
13.004333,47.793304,3
13.2166666,47.4,3
16.2166666,47.8333333,3
15.0666666,47.85,3
15.3,47.8,3
16.5333333,47.85,3
13.8833333,46.6166666,3
16.3333333,47.2,3
12.8166666,46.8333333,3
14.4166666,47.0666666,3
14.3333333,46.65,3
14.1,46.7166666,3
14.1833333,46.85,3
15.9,46.8666666,3
15.439628,46.991067,3
13.0,46.6833333,3
13.4833333,46.7833333,3
13.0833333,46.7333333,3
13.85,46.7333333,3
15.2333333,46.8166666,3
14.1833333,47.1166666,3
15.45,47.0833333,3
9.85,47.45,3
15.55,46.7666666,3
15.8666666,46.9333333,3
15.5833333,47.0666666,3
9.7333333,47.4333333,3
13.15,47.3333333,3
14.3333333,47.7333333,3
13.75,47.6166666,3
15.2333333,47.55,3
13.9333333,47.55,3
13.45,47.7333333,3
15.8333333,47.7,3
15.9,47.7833333,3
15.6166666,48.1833333,3
15.8833333,47.8666666,3
12.3833333,50.0666666,3
13.3333333,50.3833333,3
13.3833333,49.7666666,3
14.26,50.100833,3
14.1666666,50.4666666,3
13.8333333,49.4666666,3
14.0333333,50.6833333,3
14.4333333,50.0666666,3
14.35,49.2,3
14.4666666,48.95,3
14.45,50.0,3
14.5333333,50.1166666,3
15.0166666,50.7666666,3
15.738647,50.013419,3
15.7666666,49.5833333,3
15.381808,49.939653,3
15.0833333,49.5666666,3
16.1333333,49.1,3
16.4166666,49.9833333,3
16.0833333,48.8833333,3
16.124925,49.165833,3
17.1333333,49.45,3
16.95,49.65,3
16.694433,49.151269,3
17.5666667,49.3166667,3
17.1166666,48.1666666,3
18.111053,49.696292,3
17.15,48.4,3
17.212667,48.170167,3
18.6166666,49.2333333,3
